id,title,budget,revenue,rating,budget_category
1097549,Babygirl,20000000,60934894,5.728,Low Budget
661539,A Complete Unknown,65000000,138003641,7.104,High Budget
426063,Nosferatu,50000000,181764515,6.691,High Budget
549509,The Brutalist,9600000,50145227,6.967,Low Budget
939243,Sonic the Hedgehog 3,122000000,492162604,7.642,High Budget
929204,Wallace & Gromit: Vengeance Most Fowl,0,191452,7.5,Low Budget
762509,Mufasa: The Lion King,200000000,722631756,7.348,High Budget
539972,Kraven the Hunter,130000000,62076533,6.467,High Budget
1061699,The Six Triple Eight,0,0,7.539,Low Budget
799766,Better Man,110000000,22549151,7.7,High Budget
1082195,The Order,20000000,1970445,6.586,Low Budget
1005331,Carry-On,47000000,0,6.895,Low Budget
839033,The Lord of the Rings: The War of the Rohirrim,30000000,20658572,6.569,Low Budget
1234811,Our Little Secret,0,0,6.27,Low Budget
1241982,Moana 2,150000000,1059242164,7.026,High Budget
402431,Wicked,150000000,758737211,6.922,High Budget
558449,Gladiator II,310000000,462180717,6.65,High Budget
516729,Paddington in Peru,90000000,170116764,6.8,High Budget
1035048,Elevation,18000000,3300000,6.461,Low Budget
1013850,A Real Pain,3000000,24856027,6.763,Low Budget
1138194,Heretic,10000000,51913394,6.973,Low Budget
845781,Red One,250000000,185700759,7.034,High Budget
1106739,Juror #2,30000000,21418477,6.875,Low Budget
940139,Here,40000000,15397270,6.544,Low Budget
827931,Time Cut,0,0,5.631,Low Budget
974576,Conclave,20000000,115657988,7.2,Low Budget
1063877,Don't Move,0,0,6.341,Low Budget
912649,Venom: The Last Dance,120000000,478937618,6.68,High Budget
1064486,Memoir of a Snail,4350000,7,8.065,Low Budget
1100782,Smile 2,28000000,138128854,6.597,Low Budget
1064213,Anora,6000000,56286295,7.05,Low Budget
1100099,We Live in Time,20000000,37182814,7.257,Low Budget
1182047,The Apprentice,16000000,17271613,6.896,Low Budget
1034541,Terrifier 3,2000000,90322103,6.816,Low Budget
835113,Woman of the Hour,836057,0,6.424,Low Budget
748230,Salem's Lot,0,851156,6.034,Low Budget
889737,Joker: Folie à Deux,190000000,207500287,5.41,High Budget
592831,Megalopolis,120000000,14387154,5.174,High Budget
877817,Wolfs,80000000,0,6.547,High Budget
814889,Never Let Go,20000000,21768945,6.116,Low Budget
1184918,The Wild Robot,78000000,331982078,8.318,High Budget
832964,Lee,0,23508220,7.0,Low Budget
748167,Uglies,0,0,5.765,Low Budget
1114513,Speak No Evil,15000000,76756109,7.184,Low Budget
698687,Transformers One,75000000,129408392,8.023,High Budget
933260,The Substance,17500000,76506196,7.145,Low Budget
917496,Beetlejuice Beetlejuice,99000000,452000435,6.961,High Budget
646097,Rebel Ridge,0,0,6.993,Low Budget
957452,The Crow,50000000,24109036,5.809,High Budget
840705,Blink Twice,20000000,46393906,6.686,Low Budget
930600,The Deliverance,0,0,5.987,Low Budget
1064028,Subservience,4400000,262793,6.635,Low Budget
704239,The Union,0,0,6.104,Low Budget
1029281,Strange Darling,4000000,4853595,6.916,Low Budget
1094138,Jackpot!,0,0,6.39,Low Budget
945961,Alien: Romulus,80000000,350865342,7.178,High Budget
1079091,It Ends with Us,25000000,350993761,6.972,Low Budget
365177,Borderlands,115000000,33017367,5.622,High Budget
1059064,The Instigators,0,11098,6.186,Low Budget
1032823,Trap,30000000,83677281,6.259,Low Budget
533535,Deadpool & Wolverine,200000000,1338073645,7.569,High Budget
1216191,Oddity,0,1699044,6.67,Low Budget
1226578,Longlegs,10000000,127961936,6.562,Low Budget
956842,Fly Me to the Moon,100000000,42260534,6.808,High Budget
718821,Twisters,155000000,372262265,6.796,High Budget
1023922,MaXXXine,10000000,22057161,6.3,Low Budget
987686,A Family Affair,0,0,5.753,Low Budget
932086,Horizon: An American Saga - Chapter 1,50000000,38735702,6.868,High Budget
762441,A Quiet Place: Day One,67000000,261907653,6.687,High Budget
704673,Trigger Warning,0,0,5.726,Low Budget
519182,Despicable Me 4,100000000,969597394,7.012,High Budget
280180,Beverly Hills Cop: Axel F,150000000,0,6.672,High Budget
1008409,The Bikeriders,40000000,36110860,6.699,Low Budget
1022789,Inside Out 2,200000000,1698863816,7.55,High Budget
1086747,The Watchers,30000000,51147812,6.38,Low Budget
573435,Bad Boys: Ride or Die,100000000,404547819,7.347,High Budget
1029955,Kinds of Kindness,15000000,16398509,6.475,Low Budget
614933,Atlas,100000000,0,6.702,High Budget
786892,Furiosa: A Mad Max Saga,168000000,174287546,7.461,High Budget
974635,Hit Man,8800000,5101673,6.792,Low Budget
1010600,The Strangers: Chapter 1,8500000,48166448,5.655,Low Budget
653346,Kingdom of the Planet of the Apes,160000000,397378150,7.057,High Budget
639720,IF,110000000,190309707,7.021,High Budget
858017,I Saw the TV Glow,10000000,5396508,6.062,Low Budget
843527,The Idea of You,0,36178,7.334,Low Budget
719221,Tarot,8000000,49256239,6.412,Low Budget
748783,The Garfield Movie,60000000,254907482,7.0,High Budget
882059,Boy Kills World,18000000,3139717,6.754,Low Budget
746036,The Fall Guy,125000000,181073291,6.983,High Budget
934632,Rebel Moon - Part Two: The Scargiver,83000000,0,6.085,High Budget
937287,Challengers,55000000,94182533,6.935,High Budget
799583,The Ministry of Ungentlemanly Warfare,60000000,29768915,7.029,High Budget
1111873,Abigail,28000000,43015969,6.712,Low Budget
1051896,Arcadian,0,1134275,6.047,Low Budget
998846,Back to Black,30000000,51001975,6.669,Low Budget
