id,title,runtime,rating
1097549,Babygirl,115,5.728
661539,A Complete Unknown,140,7.105
426063,Nosferatu,133,6.691
549509,The Brutalist,215,6.967
939243,Sonic the Hedgehog 3,110,7.642
929204,Wallace & Gromit: Vengeance Most Fowl,79,7.5
762509,Mufasa: The Lion King,118,7.348
539972,Kraven the Hunter,127,6.467
1061699,The Six Triple Eight,130,7.539
799766,Better Man,135,7.7
1082195,The Order,116,6.586
1005331,Carry-On,120,6.895
839033,The Lord of the Rings: The War of the Rohirrim,134,6.569
1234811,Our Little Secret,101,6.27
1241982,Moana 2,100,7.026
402431,Wicked,162,6.922
558449,Gladiator II,148,6.65
516729,Paddington in Peru,106,6.8
1035048,Elevation,91,6.461
1013850,A Real Pain,90,6.763
1138194,Heretic,111,6.973
845781,Red One,124,7.034
1106739,Juror #2,114,6.875
940139,Here,104,6.544
827931,Time Cut,90,5.631
974576,Conclave,120,7.2
1063877,Don't Move,92,6.341
912649,Venom: The Last Dance,109,6.68
1064486,Memoir of a Snail,94,8.065
1100782,Smile 2,127,6.597
1064213,Anora,139,7.048
1100099,We Live in Time,108,7.257
1182047,The Apprentice,122,6.896
1034541,Terrifier 3,125,6.817
835113,Woman of the Hour,95,6.424
748230,Salem's Lot,113,6.034
889737,Joker: Folie à Deux,138,5.41
592831,Megalopolis,138,5.174
877817,Wolfs,108,6.547
814889,Never Let Go,101,6.116
1184918,The Wild Robot,102,8.318
832964,Lee,117,7.0
748167,Uglies,100,5.765
1114513,Speak No Evil,110,7.184
698687,Transformers One,104,8.023
933260,The Substance,141,7.145
917496,Beetlejuice Beetlejuice,105,6.961
646097,Rebel Ridge,132,6.993
957452,The Crow,111,5.809
840705,Blink Twice,102,6.686
930600,The Deliverance,111,5.987
1064028,Subservience,105,6.635
704239,The Union,109,6.104
1029281,Strange Darling,98,6.916
1094138,Jackpot!,107,6.39
945961,Alien: Romulus,119,7.178
1079091,It Ends with Us,131,6.972
365177,Borderlands,101,5.622
1059064,The Instigators,102,6.186
1032823,Trap,105,6.259
533535,Deadpool & Wolverine,128,7.569
1216191,Oddity,98,6.67
1226578,Longlegs,101,6.562
956842,Fly Me to the Moon,132,6.808
718821,Twisters,123,6.796
1023922,MaXXXine,103,6.3
987686,A Family Affair,114,5.753
932086,Horizon: An American Saga - Chapter 1,182,6.868
762441,A Quiet Place: Day One,100,6.687
704673,Trigger Warning,106,5.726
519182,Despicable Me 4,94,7.012
280180,Beverly Hills Cop: Axel F,115,6.672
1008409,The Bikeriders,116,6.699
1022789,Inside Out 2,97,7.55
1086747,The Watchers,102,6.38
573435,Bad Boys: Ride or Die,115,7.347
1029955,Kinds of Kindness,164,6.475
614933,Atlas,118,6.702
786892,Furiosa: A Mad Max Saga,149,7.461
974635,Hit Man,116,6.792
1010600,The Strangers: Chapter 1,91,5.655
653346,Kingdom of the Planet of the Apes,145,7.057
639720,IF,104,7.021
858017,I Saw the TV Glow,100,6.062
843527,The Idea of You,116,7.334
719221,Tarot,92,6.412
748783,The Garfield Movie,101,7.0
882059,Boy Kills World,110,6.754
746036,The Fall Guy,127,6.983
934632,Rebel Moon - Part Two: The Scargiver,121,6.085
937287,Challengers,132,6.935
799583,The Ministry of Ungentlemanly Warfare,120,7.029
1111873,Abigail,109,6.712
1051896,Arcadian,92,6.047
998846,Back to Black,122,6.669
929590,Civil War,109,6.852
560016,Monkey Man,121,6.886
437342,The First Omen,119,6.853
823464,Godzilla x Kong: The New Empire,115,7.076
978592,Sleeping Dogs,112,7.001
1041613,Immaculate,89,6.228
967847,Ghostbusters: Frozen Empire,115,6.482
938614,Late Night with the Devil,93,7.113
359410,Road House,121,6.94
1022690,Ricky Stanicky,112,6.5
948549,Love Lies Bleeding,104,6.577
763215,Damsel,107,6.996
1125311,Imaginary,104,5.946
1011985,Kung Fu Panda 4,94,7.029
932420,Code 8 Part II,101,6.366
693134,Dune: Part Two,167,8.133
975773,Wicked Little Letters,100,6.949
636706,Spaceman,108,6.714
957304,Drive-Away Dolls,84,5.478
618588,Arthur the King,107,7.578
802219,Bob Marley: One Love,104,6.64
634492,Madame Web,117,5.322
969492,Land of Bad,113,7.276
1014590,Upgraded,105,7.184
993784,Lisa Frankenstein,102,6.295
1139829,Orion and the Dark,90,6.5
848538,Argylle,139,6.023
1052280,It's What's Inside,103,6.5
1096197,No Way Up,90,6.3
1026436,Miller's Girl,93,6.349
758679,Mothers' Instinct,94,6.891
955916,Lift,107,6.445
673593,Mean Girls,113,5.93
866398,The Beekeeper,106,7.275
1072342,Night Swim,98,5.527
994108,All of Us Strangers,105,7.411
1072790,Anyone But You,103,6.835
850165,The Iron Claw,132,7.529
760774,One Life,109,7.769
572802,Aquaman and the Lost Kingdom,124,6.565
848326,Rebel Moon - Part One: A Child of Fire,134,6.237
467244,The Zone of Interest,105,7.0
1029575,The Family Plan,118,7.249
848187,Role Play,101,5.946
365620,Ferrari,131,6.368
520758,Chicken Run: Dawn of the Nugget,101,6.951
792307,Poor Things,141,7.656
940551,Migration,83,7.38
787699,Wonka,117,7.054
891699,Silent Night,104,6.172
798021,Family Switch,106,6.406
753342,Napoleon,158,6.317
726209,Leave the World Behind,140,6.377
523607,Maestro,129,6.284
1075794,Leo,102,7.392
1071215,Thanksgiving,106,6.491
930564,Saltburn,131,6.965
839369,May December,117,6.6
621587,Next Goal Wins,104,6.408
695721,The Hunger Games: The Ballad of Songbirds & Snakes,157,7.002
1022796,Wish,95,6.265
1056360,American Fiction,117,7.283
823482,Dream Scenario,102,6.7
609681,The Marvels,105,6.0
1020006,Priscilla,113,6.755
840430,The Holdovers,133,7.7
800158,The Killer,118,6.58
507089,Five Nights at Freddy's,110,7.4
862968,Pain Hustlers,122,6.65
895549,NYAD,121,7.094
466420,Killers of the Flower Moon,206,7.409
901362,Trolls Band Together,91,7.266
1027073,In the Land of Saints and Sinners,106,6.5
763165,The Burial,126,7.066
897087,Freelance,108,6.401
807172,The Exorcist: Believer,111,5.831
1172676,Poison,17,6.868
937249,57 Seconds,99,6.1
866463,Reptile,136,6.665
974931,Totally Killer,104,6.8
910571,Fair Play,113,6.318
951491,Saw X,118,7.19
670292,The Creator,134,7.025
893723,PAW Patrol: The Mighty Movie,88,7.0
820609,No One Will Save You,93,6.682
923939,The Wonderful Story of Henry Sugar,39,7.243
792293,Dumb Money,105,6.679
353577,Love at First Sight,91,7.203
299054,Expend4bles,103,6.089
945729,A Haunting in Venice,104,6.586
820525,After Everything,93,6.889
968051,The Nun II,110,6.675
926393,The Equalizer 3,109,7.295
814776,Bottoms,91,6.753
762430,Retribution,91,6.568
912908,Strays,93,7.2
565770,Blue Beetle,128,6.656
980489,Gran Turismo,135,7.736
724209,Heart of Stone,122,6.8
635910,The Last Voyage of the Demeter,119,6.751
615656,Meg 2: The Trench,116,6.405
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,100,7.213
930094,"Red, White & Royal Blue",118,7.9
1008042,Talk to Me,95,7.146
616747,Haunted Mansion,123,6.44
872585,Oppenheimer,181,8.045
709631,Cobweb,88,6.5
346698,Barbie,114,6.944
575264,Mission: Impossible - Dead Reckoning Part One,164,7.518
921636,The Out-Laws,95,5.996
457332,Hidden Strike,103,6.916
614479,Insidious: The Red Door,107,6.5
678512,Sound of Freedom,131,7.976
1040148,"Ruby Gillman, Teenage Kraken",91,7.188
335977,Indiana Jones and the Dial of Destiny,155,6.531
961323,Nimona,101,7.867
884605,No Hard Feelings,104,6.7
976573,Elemental,102,7.594
736769,They Cloned Tyrone,122,6.6
298618,The Flash,144,6.623
697843,Extraction 2,122,7.407
747188,Asteroid City,105,6.4
667538,Transformers: Rise of the Beasts,127,7.2
985617,Reality,83,6.4
666277,Past Lives,106,7.7
569094,Spider-Man: Across the Spider-Verse,140,8.3
532408,The Boogeyman,99,6.4
717930,Kandahar,119,6.806
447277,The Little Mermaid,135,6.291
385687,Fast X,142,7.015
536437,Hypnotic,93,6.21
552688,The Mother,115,6.6
447365,Guardians of the Galaxy Vol. 3,150,7.932
455476,Knights of the Zodiac,113,6.3
890771,The Black Demon,101,5.9
420808,Peter Pan & Wendy,106,5.44
882569,Guy Ritchie's The Covenant,123,7.731
868759,Ghosted,117,6.9
948713,The Last Kingdom: Seven Kings Must Die,111,7.237
798286,Beau Is Afraid,179,6.721
713704,Evil Dead Rise,96,6.919
649609,Renfield,93,6.463
605886,To Catch a Killer,119,6.866
964980,Air,111,7.3
758323,The Pope's Exorcist,103,6.931
502356,The Super Mario Bros. Movie,93,7.603
1016121,Beautiful Disaster,96,6.6
638974,Murder Mystery 2,91,6.394
493529,Dungeons & Dragons: Honor Among Thieves,134,7.334
603692,John Wick: Chapter 4,170,7.717
881164,Boston Strangler,113,6.654
726759,Tetris,118,7.656
594767,Shazam! Fury of the Gods,130,6.4
626332,Flamin' Hot,99,8.0
934433,Scream VI,123,6.974
700391,65,92,5.966
677179,Creed III,116,7.1
852096,We Have a Ghost,127,6.482
722149,Luther: The Fallen Sun,129,6.6
804150,Cocaine Bear,95,6.022
640146,Ant-Man and the Wasp: Quantumania,125,6.3
1016084,BlackBerry,120,7.144
717980,Sharper,115,6.866
703451,Your Place or Mine,109,6.282
906221,Magic Mike's Last Dance,112,6.448
